ticker,marketCap,exchange
NVDA,4653442400256,NMS
GOOGL,4093897080832,NMS
AAPL,3813817974784,NMS
MSFT,3195174125568,NMS
AMZN,2558168662016,NMS
META,1812426522624,NMS
TSLA,1615084257280,NMS
AVGO,1570783887360,NMS
TSM,1714450989056,NYQ
BRK-B,1036664111104,NYQ
WMT,949885468672,NMS
LLY,929760149504,NYQ
JPM,832712867840,NYQ
V,620500942848,NYQ
XOM,596307214336,NYQ
ASML,552334131200,NMS
JNJ,547512320000,NYQ
MA,481375289344,NYQ
ORCL,472859738112,NYQ
MU,466951274496,NMS
COST,417431224320,NMS
ABBV,394144415744,NYQ
AMD,385406271488,NMS
BAC,388492787712,NYQ
BABA,404794736640,NYQ
HD,372908654592,NYQ
PG,355215474688,NYQ
NFLX,354155364352,NMS
CVX,353685635072,NYQ
PLTR,349387915264,NMS
KO,321957330944,NYQ
GE,323606347776,NYQ
CSCO,309449719808,NMS
CAT,307959300096,NYQ
HSBC,302154776576,NYQ
TM,297070952448,NYQ
GS,283168309248,NYQ
LRCX,293232771072,NMS
MS,290525741056,NYQ
AZN,287639601152,NMS
IBM,286683299840,NYQ
NVS,285285974016,NYQ
WFC,284055764992,NYQ
PM,279323246592,NYQ
MRK,275430572032,NYQ
RTX,269401309184,NYQ
NVO,264075984896,NYQ
UNH,259912253440,NYQ
AMAT,255832309760,NMS
AXP,242592890880,NYQ
SAP,234572333056,NYQ
RY,233542647808,NYQ
INTC,232125956096,NMS
MCD,224785383424,NYQ
TMUS,221943889920,NMS
SHEL,217897517056,NYQ
TMO,217388433408,NYQ
LIN,214277586944,NMS
PEP,210331336704,NMS
MUFG,206732197888,NYQ
C,207035990016,NYQ
DIS,201380593664,NYQ
CRM,202100080640,NYQ
GEV,197079040000,NYQ
TXN,195853697024,NMS
ABT,190232182784,NYQ
SAN,188540960768,NYQ
VZ,187740831744,NYQ
KLAC,188037595136,NMS
SCHW,188637593600,NYQ
T,185814466560,NYQ
AMGN,184095768576,NMS
BA,183019405312,NYQ
NEE,183061397504,NYQ
BLK,173604552704,NYQ
BHP,176557932544,NYQ
ISRG,180751024128,NMS
ANET,178491080704,NYQ
APH,176361930752,NYQ
GILD,176132538368,NMS
BX,180037910528,NYQ
SHOP,170840850432,NMS
TJX,166729351168,NYQ
UBER,166937772032,NYQ
ACN,163493429248,NYQ
QCOM,162352889856,NMS
BKNG,162109063168,NMS
APP,160029409280,NMS
SPGI,161134280704,NYQ
TD,157476487168,NYQ
SCCO,155891122176,NYQ
HDB,166087983104,NYQ
TTE,155117551616,NYQ
RIO,181681258496,NYQ
DHR,154733330432,NYQ
ADI,152223678464,NMS
PFE,150330114048,NYQ
UL,149156872192,NYQ
LOW,149807710208,NYQ
UBS,148579106816,NYQ
LMT,146757107712,NYQ
BBVA,144493363200,NYQ
HON,153318834176,NMS
PDD,143455272960,NMS
DE,143127314432,NYQ
SYK,141328482304,NYQ
UNP,139452137472,NYQ
BUD,139350638592,NYQ
INTU,138899324928,NMS
BSX,138706845696,NYQ
COF,139181162496,NYQ
ETN,136807809024,NYQ
SMFG,134739918848,NYQ
SONY,132760010752,NYQ
MDT,132058144768,NYQ
BTI,131669549056,NYQ
WELL,129276755968,NYQ
COP,130177261568,NYQ
PLD,121272877056,NYQ
PANW,121044426752,NMS
NOW,123462279168,NYQ
NEM,123410817024,NYQ
