ticker,marketCap,exchange
NVDA,4238791933952,NMS
AAPL,3730186436608,NMS
GOOGL,3478613393408,NMS
MSFT,2751243485184,NMS
AMZN,2235761950720,NMS
AVGO,1467471626240,NMS
META,1447234633728,NMS
TSM,1752779325440,NYQ
TSLA,1394966528000,NMS
BRK-B,1033572581376,NYQ
WMT,990810210304,NMS
LLY,823211393024,NYQ
JPM,793359089664,NYQ
XOM,706933096448,NYQ
JNJ,589075709952,NYQ
V,582730645504,NYQ
ASML,518635356160,NMS
MA,445915430912,NYQ
COST,442284802048,NMS
ORCL,423095140352,NYQ
CVX,413666246656,NYQ
NFLX,407857692672,NMS
ABBV,384688128000,NYQ
MU,380993667072,NMS
PLTR,349854302208,NMS
BAC,349863247872,NYQ
PG,337517772800,NYQ
AMD,331674484736,NMS
CAT,331544821760,NYQ
HD,327578222592,NYQ
KO,327330856960,NYQ
CSCO,306565414912,NMS
AZN,305746903040,NYQ
MRK,297404039168,NYQ
GE,299324538880,NYQ
NVS,295276478464,NYQ
BABA,299524784128,NYQ
HSBC,285816061952,NYQ
AMAT,271247917056,NMS
SHEL,264698003456,NYQ
LRCX,268363366400,NMS
MS,261314166784,NYQ
RTX,259638427648,NYQ
GS,251050000384,NYQ
TM,268605030400,NYQ
PM,257687388160,NYQ
WFC,245647458304,NYQ
UNH,245608005632,NYQ
GEV,236835618816,NYQ
TMUS,234919952384,NMS
LIN,229732286464,NMS
IBM,227460972544,NYQ
RY,225868054528,NYQ
INTC,221577199616,NMS
MCD,221781114880,NYQ
PEP,212272250880,NMS
VZ,211727745024,NYQ
AXP,207687008256,NYQ
T,202946723840,NYQ
TTE,195132030976,NYQ
C,198390284288,NYQ
SAP,201327214592,NYQ
NEE,193517502464,NYQ
KLAC,193463386112,NMS
AMGN,189670948864,NMS
MUFG,191550521344,NYQ
TMO,182595649536,NYQ
ABT,178407899136,NYQ
TJX,177736318976,NYQ
TXN,176757358592,NMS
BHP,185453576192,NYQ
GILD,172986548224,NMS
CRM,174909784064,NYQ
DIS,170919034880,NYQ
SCHW,166996525056,NYQ
ISRG,163729670144,NMS
COP,161348780032,NYQ
ARM,160659144704,NMS
PFE,159729041408,NYQ
NVO,164388896768,NYQ
SAN,164421844992,NYQ
BLK,149585854464,NYQ
BA,156406562816,NYQ
RIO,151665426432,NYQ
TD,156453879808,NYQ
ADI,155317272576,NMS
APH,155311308800,NYQ
SHOP,154809024512,NMS
ANET,154615021568,NYQ
DE,152151441408,NYQ
UBER,148040286208,NYQ
PDD,145059479552,NMS
UNP,144038215680,NYQ
HON,143681781760,NMS
SCCO,142132822016,NYQ
BX,140547899392,NYQ
LMT,139289001984,NYQ
ETN,138919034880,NYQ
WELL,137952657408,NYQ
QCOM,137542844416,NMS
BUD,134846808064,NYQ
APP,134506094592,NMS
DHR,134179807232,NYQ
BKNG,135714676736,NMS
LOW,132541620224,NYQ
