ticker,marketCap,exchange
NVDA,4505169035264,NMS
GOOGL,3956909015040,NMS
AAPL,3813776818176,NMS
MSFT,3565539033088,NMS
AMZN,2642407587840,NMS
AVGO,1665324941312,NMS
META,1634587377664,NMS
TSLA,1492660912128,NMS
TSM,1670329925632,NYQ
BRK-B,1072486678528,NYQ
LLY,957030334464,NYQ
WMT,930591211520,NMS
JPM,890947764224,NYQ
V,654563278848,NYQ
ORCL,569526190080,NYQ
XOM,524208865280,NYQ
MA,507014250496,NYQ
JNJ,495953412096,NYQ
ASML,493995524096,NMS
PLTR,432441360384,NMS
COST,414159273984,NMS
NFLX,382270111744,NMS
BAC,418375925760,NYQ
ABBV,390874791936,NYQ
MU,388154359808,NMS
HD,372948467712,NYQ
BABA,385302233088,NYQ
GE,342256812032,NYQ
AMD,336263839744,NMS
PG,335391326208,NYQ
CVX,325696028672,NYQ
UNH,306671648768,NYQ
KO,305086955520,NYQ
WFC,304935567360,NYQ
AZN,293468667904,NMS
GS,284638052352,NYQ
MS,295944683520,NYQ
CAT,292911742976,NYQ
CSCO,290820325376,NMS
SAP,289434992640,NYQ
IBM,282075037696,NYQ
TM,290716221440,NYQ
LRCX,278070231040,NMS
HSBC,279598727168,NYQ
MRK,275468025856,NYQ
NVS,273447043072,NYQ
NVO,266312826880,NYQ
RTX,257039400960,NYQ
PM,254401462272,NYQ
AXP,250663731200,NYQ
AMAT,245039235072,NMS
CRM,244768702464,NYQ
RY,237982253056,NYQ
TMO,231424884736,NYQ
TMUS,225578991616,NMS
INTC,214506897408,NMS
MCD,219187167232,NYQ
ABT,217957695488,NYQ
APP,212351598592,NMS
SHOP,210390843392,NMS
C,216185847808,NYQ
LIN,206685945856,NMS
ISRG,206693974016,NMS
DIS,204218318848,NYQ
SHEL,202361094144,NYQ
PEP,191246401536,NMS
BX,190770839552,NYQ
MUFG,196939628544,NYQ
KLAC,185847693312,NMS
QCOM,186176061440,NMS
BA,185329467392,NYQ
SCHW,182974119936,NYQ
APH,178944688128,NYQ
INTU,177314365440,NMS
BLK,168548958208,NYQ
AMGN,175463923712,NMS
TJX,175833202688,NYQ
SAN,177429610496,NYQ
UBER,175623520256,NYQ
BKNG,175375400960,NMS
GEV,174626209792,NYQ
TXN,172654247936,NMS
ACN,173204783104,NYQ
PDD,169619357696,NMS
T,170286432256,NYQ
VZ,168267005952,NYQ
DHR,170545594368,NYQ
NEE,167212728320,NYQ
SPGI,165848104960,NYQ
HDB,170460348416,NYQ
TD,158959943680,NYQ
BHP,160836485120,NYQ
ANET,153894715392,NYQ
UBS,149923397632,NYQ
LOW,150560735232,NYQ
GILD,149901885440,NMS
COF,150478422016,NYQ
NOW,149450457088,NYQ
SONY,151202234368,NYQ
PFE,145696260096,NYQ
ADI,145243652096,NMS
BSX,144123019264,NYQ
SCCO,142997684224,NYQ
