ticker,marketCap,exchange
NVDA,4306603081728,NMS
AAPL,3882897899520,NMS
GOOGL,3771360870400,NMS
MSFT,2918992052224,NMS
AMZN,2254333280256,NMS
TSM,1942760849408,NYQ
META,1639607173120,NMS
AVGO,1515073961984,NMS
TSLA,1510391414784,NMS
BRK-B,1089346207744,NYQ
WMT,1020126298112,NMS
LLY,992402604032,NYQ
JPM,809918791680,NYQ
XOM,635431419904,NYQ
V,617242624000,NYQ
JNJ,598691217408,NYQ
ASML,569575014400,NMS
MU,464126246912,NMS
MA,461577715712,NYQ
COST,448747995136,NMS
ORCL,417892827136,NYQ
ABBV,410356645888,NYQ
NFLX,408239439872,NMS
PG,390701809664,NYQ
HD,379011137536,NYQ
CVX,373399257088,NYQ
GE,361020620800,NYQ
BAC,363883364352,NYQ
KO,350839209984,NYQ
CAT,347629289472,NYQ
PLTR,328113979392,NMS
AMD,326424559616,NMS
AZN,323156606976,NYQ
NVS,325954306048,NYQ
BABA,344038047744,NYQ
HSBC,319835701248,NYQ
TM,315916484608,NYQ
CSCO,313953976320,NMS
MRK,306131566592,NYQ
AMAT,295460929536,NMS
LRCX,293772853248,NMS
PM,290834448384,NYQ
RTX,271974318080,NYQ
UNH,265655271424,NYQ
GS,260209967104,NYQ
MS,264394604544,NYQ
WFC,255678431232,NYQ
MCD,243381927936,NYQ
TMUS,242816598016,NMS
SAP,235144069120,NYQ
GEV,237025542144,NYQ
LIN,235441291264,NMS
SHEL,236167872512,NYQ
RY,234947575808,NYQ
PEP,232092319744,NMS
INTC,227830087680,NMS
IBM,224532758528,NYQ
MUFG,210855886848,NYQ
AXP,212786266112,NYQ
VZ,211474677760,NYQ
BHP,209542103040,NYQ
AMGN,209244504064,NMS
ABT,202502406144,NYQ
KLAC,200314191872,NMS
T,198575489024,NYQ
NEE,195371843584,NYQ
TMO,195785228288,NYQ
C,197159239680,NYQ
TXN,192728039424,NMS
DIS,188049965056,NYQ
SAN,182473654272,NYQ
GILD,184909578240,NMS
CRM,185440075776,NYQ
SCCO,180329414656,NYQ
APH,179539132416,NYQ
TJX,179917684736,NYQ
ISRG,178811633664,NMS
BA,178690015232,NYQ
ADI,174214037504,NMS
BLK,164961107968,NYQ
TTE,170634117120,NYQ
DE,170698309632,NYQ
RIO,165003493376,NYQ
ANET,168114569216,NYQ
NVO,166460030976,NYQ
SCHW,172808880128,NYQ
UL,161260437504,NYQ
TD,163995189248,NYQ
BUD,157272408064,NYQ
SHOP,157562748928,NMS
UNP,157236887552,NYQ
PFE,157209821184,NYQ
UBER,156709961728,NYQ
HON,164147920896,NMS
QCOM,152046911488,NMS
LMT,152278269952,NYQ
HDB,163369435136,NYQ
DHR,148951826432,NYQ
LOW,148410941440,NYQ
SYK,148276543488,NYQ
PDD,147259932672,NMS
SMFG,142793326592,NYQ
APP,146932695040,NMS
ETN,146345656320,NYQ
WELL,144518496256,NYQ
NEM,141864189952,NYQ
BX,139404132352,NYQ
SONY,137514647552,NYQ
COP,138686611456,NYQ
PLD,132527226880,NYQ
BTI,135880531968,NYQ
ARM,135351713792,NMS
BKNG,136650432512,NMS
