ticker,marketCap,exchange
NVDA,4850548998144,NMS
GOOGL,4662022373376,NMS
AAPL,3983727394816,NMS
MSFT,3029167243264,NMS
AMZN,2850521874432,NMS
AVGO,1976392613888,NMS
TSM,2054125649920,NYQ
META,1553286561792,NMS
TSLA,1433296830464,NMS
WMT,1051612741632,NMS
BRK-B,1021494099968,NYQ
JPM,839299825664,NYQ
LLY,836297687040,NYQ
XOM,641481834496,NYQ
V,627271139328,NYQ
MU,583218888704,NMS
AMD,577964343296,NMS
JNJ,553298821120,NYQ
ASML,554612162560,NMS
INTC,474856488960,NMS
ORCL,464165076992,NYQ
COST,450098823168,NMS
MA,444770680832,NYQ
CAT,414156881920,NYQ
NFLX,394172858368,NMS
CVX,385053949952,NYQ
BAC,381164879872,NYQ
ABBV,373774876672,NYQ
CSCO,361415213056,NMS
PG,342513614848,NYQ
KO,338904285184,NYQ
UNH,336474832896,NYQ
PLTR,333468532736,NMS
HD,327493877760,NYQ
LRCX,322472214528,NMS
HSBC,318281809920,NYQ
AMAT,313071140864,NMS
GE,302927446016,NYQ
MS,302630273024,NYQ
BABA,325424644096,NYQ
AZN,290476621824,NYQ
GEV,291147350016,NYQ
GS,274131451904,NYQ
NVS,282111410176,NYQ
MRK,269661421568,NYQ
PM,257271316480,NYQ
TXN,255808864256,NMS
SHEL,252850978816,NYQ
WFC,251980693504,NYQ
TM,228082368512,NYQ
RY,250251247616,NYQ
RTX,237110558720,NYQ
LIN,232225341440,NMS
KLAC,229982568448,NMS
ARM,223359549440,NMS
AXP,220425551872,NYQ
C,223877857280,NYQ
ANET,217471156224,NYQ
IBM,217094701056,NYQ
PEP,216646467584,NMS
TMUS,211571015680,NMS
MCD,208691888128,NYQ
NEE,204113215488,NYQ
MUFG,202612375552,NYQ
VZ,200573272064,NYQ
SAP,199817248768,NYQ
TTE,206416543744,NYQ
ADI,196385013760,NMS
BHP,201449373696,NYQ
QCOM,189277323264,NMS
NVO,187212021760,NYQ
AMGN,186866106368,NMS
DIS,183795187712,NYQ
T,181560082432,NYQ
APH,181058256896,NYQ
BA,180544880640,NYQ
TD,180581744640,NYQ
TMO,177991778304,NYQ
SAN,175540125696,NYQ
BLK,165556895744,NYQ
TJX,174065713152,NYQ
RIO,163396812800,NYQ
ETN,168001536000,NYQ
GILD,162399092736,NMS
ISRG,162068463616,NMS
SNDK,161845952512,NMS
UNP,159993839616,NYQ
DE,159328190464,NYQ
SCHW,160572555264,NYQ
ABT,158139219968,NYQ
SHOP,157588570112,NMS
BX,153491668992,NYQ
WELL,153423446016,NYQ
COP,153237012480,NYQ
UBER,153556041728,NYQ
PFE,151879122944,NYQ
STX,151049617408,NMS
APP,150090072064,NMS
BUD,146407571456,NYQ
WDC,148562083840,NMS
PANW,145428529152,NMS
MRVL,144416768000,NMS
CRM,144411033600,NYQ
SCCO,141827178496,NYQ
PDD,142168834048,NMS
GLW,141091373056,NYQ
UBS,136240816128,NYQ
DELL,135856930816,NYQ
HON,135810875392,NMS
PLD,132395401216,NYQ
PBR,141969391616,NYQ
PBR-A,136108695552,NYQ
SMFG,135093682176,NYQ
LOW,133737422848,NYQ
BKNG,130458542080,NMS
SPGI,127644082176,NYQ
UL,128805601280,NYQ
BTI,127246303232,NYQ
CB,126830247936,NYQ
DHR,126655553536,NYQ
VRT,126175895552,NYQ
HDB,130396037120,NYQ
BMY,123708751872,NYQ
BBVA,123456249856,NYQ
BP,122003374080,NYQ
MO,121463398400,NYQ
COF,121321676800,NYQ
ENB,120945098752,NYQ
SYK,120689827840,NYQ
SBUX,120044601344,NMS
LMT,119425032192,NYQ
NEM,118594437120,NYQ
PGR,117628035072,NYQ
SONY,118685040640,NYQ
PH,114783830016,NYQ
CRWD,113048485888,NMS
CEG,113398226944,NMS
SNY,111598706688,NMS
ACN,109984415744,NYQ
PWR,109206781952,NYQ
SO,109010296832,NYQ
TT,108911468544,NYQ
VRTX,108708257792,NMS
INTU,108109479936,NMS
BMO,107218329600,NYQ
EQIX,106793287680,NMS
CVS,106744823808,NYQ
MFG,104854503424,NYQ
GSK,104409333760,NYQ
CME,104294277120,NMS
MDT,103956160512,NYQ
CM,102563807232,NYQ
BN,100939259904,NYQ
DUK,100817977344,NYQ
MCK,99851771904,NYQ
ADBE,99473620992,NMS
EQNR,101555601408,NYQ
CNQ,99520937984,NYQ
HWM,97444470784,NYQ
HCA,96378306560,NYQ
CMCSA,96593068032,NMS
FDX,96232488960,NYQ
ITUB,95885819904,NYQ
MAR,95842263040,NMS
BNS,95805538304,NYQ
IBN,95278211072,NYQ
AEM,94291230720,NYQ
WM,93386440704,NYQ
WMB,93316210688,NYQ
GD,93109108736,NYQ
KKR,96631300096,NYQ
CMI,92772114432,NYQ
SNPS,92447834112,NMS
UPS,92444409856,NYQ
BK,92228747264,NYQ
SPOT,91819638784,NYQ
NOW,91074805760,NYQ
CDNS,90997178368,NMS
MELI,90881294336,NMS
