ticker,marketCap,sector,trailingPE,forwardPE,pegRatio,priceToFreeCashFlow,beta,returnOnEquity,debtToEquity,returnOnInvestedCapital,grossMargins,operatingMargins,profitMargins,enterpriseToEbitda,priceMomentum12M
AMZN,2254333280256.0,Consumer Cyclical,29.329609,22.494295,5.865921800000001,94.74725775092725,1.385,0.22286,43.435,,0.50286,0.10533,0.108339995,15.85,-1.0740525684981517
GOOGL,3771360870400.0,Communication Services,28.81331,23.236176,0.9264729903536978,47.654084930024126,1.086,0.35705003,16.133,,0.59652,0.31568,0.32810003,24.715,83.8037318498174
AVGO,1515073961984.0,Technology,67.13235,22.00909,0.3568971291866029,60.49618424940404,1.221,0.31048,166.032,,0.77325994,0.31765,0.36198002,4.591,61.679575331909
NVDA,4306603081728.0,Technology,36.087578,16.620033,0.37748512552301255,74.07175624068554,2.314,0.0101485,7.255,,0.71068,0.65024,0.55603004,31.934,41.88157605117515
MSFT,2918992052224.0,Technology,24.576971,20.843594,0.4109861371237458,54.36814912897261,1.084,0.34390998,31.539,,0.68586,0.47094002,0.39044,16.833,-0.3131875043765442
META,1639607173120.0,Communication Services,27.629156,18.065216,2.582164112149533,60.50111935915394,1.284,0.30238,39.164,,0.81999,0.41314998,0.30084,16.126,-2.6902207612219065
TSM,1942760849408.0,Technology,35.337734,20.840683,1.0096495428571428,3.0192915508070772,1.272,0.35064,19.565,,0.59891,0.53916,0.45099998,2.966,110.28483398372919
AAPL,3882897899520.0,Technology,33.440506,28.408987,1.8273500546448087,36.481639786477835,1.107,0.015202099,102.63,,0.47325,0.35374,0.27037,25.52,9.713618269899559
BRK-B,1089346207744.0,Financial Services,16.15323,20.960693,0.9391412790697675,14.258830792656422,0.702,0.1017,18.166,,0.24361,0.41103,0.18129,-2.421,-1.7282013106468819
TSLA,1510391414784.0,Consumer Cyclical,369.27524,143.53212,,404.6459100399892,1.887,0.049250003,17.763,,0.18027,0.047030002,0.040009998,141.082,37.38479927177798
V,617242624000.0,Financial Services,30.031897,22.039133,1.7259710919540232,24.427164411078092,0.78,0.53954,54.612,,0.97777003,0.68296,0.50233,21.237,-11.076074229436983
JPM,809918791680.0,Financial Services,14.99251,12.782901,,,1.053,0.16134001,,,0.0,0.41062,0.3391,,15.797292171968614
LLY,992402604032.0,Healthcare,45.878323,25.071922,0.8925743774319067,508.66352624876185,0.394,0.0101159,165.31,,0.83044,0.44896,0.31667,30.81,15.114547221878261
WMT,1020126298112.0,Consumer Defensive,46.86813,38.875095,,131.29687841390495,0.671,0.21847,63.19,,0.24927,0.04567,0.0307,24.51,30.99558335020509
XOM,635431419904.0,Energy,22.795216,18.263823,,51.957843705094746,0.358,0.110810004,18.936,,0.31049,0.09527001,0.089049995,11.492,41.68669321846128
JNJ,598691217408.0,Healthcare,22.523119,19.801262,0.46343866255144034,35.993639256137975,0.347,0.35029998,60.499,,0.68081003,0.23966,0.28456,18.558,54.739868721474764
ASML,569575014400.0,Technology,49.744858,32.92604,6.909008055555557,51.50388410730247,1.462,0.50458,23.916,,0.52830005,0.35304,0.29416,44.874,106.3601562455228
MU,464126246912.0,Technology,39.198666,9.255576,0.22348156214367162,1044.7411832851524,1.505,0.22554001,21.244,,0.45308998,0.44974998,0.28146,20.972,341.8685124207602
MA,461577715712.0,Financial Services,31.346062,22.853132,1.2952918181818183,28.14138547240222,0.821,0.0209915,256.042,,1.0,0.57733,0.45646998,22.887,-9.736715062552337
ORCL,417892827136.0,Technology,27.330826,18.32968,0.3006691529152915,,1.633,0.69026,432.511,,0.68543,0.31997,0.25280002,20.187,-11.554038450543057
NFLX,408239439872.0,Communication Services,38.039524,25.16394,1.1632881957186543,16.431936809961158,1.712,0.42762002,63.782,,0.48487,0.24535,0.24304001,30.326,-1.8520026927274946
ABBV,410356645888.0,Healthcare,97.92406,14.400291,,22.377701019028105,0.334,0.6225,,,0.71620005,0.34108,0.0691,16.187,14.751670167905552
COST,448747995136.0,Consumer Defensive,54.052937,45.31969,4.741485701754386,62.57225995290925,1.008,0.30325,26.968,,0.12876001,0.03659,0.02961,33.497,-3.078394983912125
HD,379011137536.0,Consumer Cyclical,26.735956,23.340588,,43.96498452072468,1.089,0.0145541,510.029,,0.33316,0.100760005,0.08596,17.673,-1.6107286089825035
CVX,373399257088.0,Energy,28.168928,20.396662,,28.012409302604837,0.672,0.07231,24.323,,0.41896,0.09462,0.06661,11.13,23.039069304366766
PG,390701809664.0,Consumer Defensive,24.77037,22.808252,,29.318789760015914,0.38,0.31562,68.719,,0.51189,0.26297,0.19299999,16.775,-1.1801509314171121
PLTR,328113979392.0,Technology,217.76192,74.2318,0.3362599135268684,249.3157942097522,1.687,0.25983,3.063,,0.82366997,0.40901002,0.36310002,223.077,61.55205247068585
BAC,363883364352.0,Financial Services,13.078741,10.02872,0.6169217452830189,,1.273,0.10217,,,0.0,0.41627997,0.28401,,10.59457073284431
GE,361020620800.0,Industrials,42.569653,40.13575,1.1382260160427808,68.88638650341704,1.384,0.44692,114.07,,0.31499,0.19549,0.18982,34.453,66.30125961407145
CAT,347629289472.0,Industrials,39.53326,26.973875,,59.195782747478006,1.554,0.43526,206.67,,0.28795,0.16025,0.13144,27.244,118.941993226764
KO,350839209984.0,Consumer Defensive,26.828947,23.551018,7.452485277777778,,0.364,0.43323,139.793,,0.61626,0.24656999,0.2734,23.945,17.91362843454585
AMD,326424559616.0,Technology,77.00385,18.467667,0.35469299861814835,71.15909147158536,1.949,0.07082,6.359,,0.52493,0.17059,0.12515001,47.425,100.49068573633284
NVS,325954306048.0,Healthcare,23.583216,16.791542,,26.5579207417683,0.457,0.30807,76.171,,0.75968003,0.27813998,0.24674,14.744,60.378922601543
BABA,344038047744.0,Consumer Cyclical,18.936924,16.308266,,,0.39,0.11191,27.249,,0.41173,0.02165,0.121879995,16.733,10.592205283567523
HSBC,319835701248.0,Financial Services,19.612633,9.828311,0.008179087117894824,,0.444,0.11625,,,0.0,0.55234003,0.35248002,,64.15254355316382
AZN,323156606976.0,Healthcare,31.824427,35.158176,0.5904346382189238,41.08597386281061,0.192,0.22844,60.968,,0.81706,0.21589,0.17408001,18.015,39.147026714517864
TM,315916484608.0,Consumer Cyclical,13.332233,15.35995,,,0.178,0.10032,105.339,,0.17597,0.08851,0.073249996,4.789,36.1865412376994
CSCO,313953976320.0,Technology,28.582733,17.595919,0.9161132371794872,30.984599058175046,0.865,0.23754999,66.509,,0.64814,0.24868,0.18756,20.246,26.954688186713803
MRK,306131566592.0,Healthcare,17.008242,12.678409,,25.75401902460149,0.296,0.36882,95.959,,0.77212,0.32773998,0.28078,11.756,39.26820731818768
AMAT,295460929536.0,Technology,38.184612,26.999743,0.5077740957446808,68.05112450425977,1.677,0.38863,33.108,,0.48724,0.29892,0.27784002,33.09,137.63553591718122
LRCX,293772853248.0,Technology,48.12551,33.960247,1.3006894594594594,60.63485478204364,1.776,0.65565,44.195,,0.49800998,0.33868998,0.3022,39.542,207.57360358014822
PM,290834448384.0,Consumer Defensive,25.698763,20.32714,,32.53591191832076,0.409,,,,0.67117995,0.32938,0.27918,18.028,24.569084408764663
UNH,265655271424.0,Healthcare,22.167044,14.644535,,16.67720046808592,0.415,0.12538,77.08,,0.18526,0.00336,0.02694,13.666,-36.73313752602716
