ticker,marketCap,sector,trailingPE,forwardPE,pegRatio,priceToFreeCashFlow,beta,returnOnEquity,debtToEquity,returnOnInvestedCapital,grossMargins,operatingMargins,profitMargins,enterpriseToEbitda,priceMomentum12M
AMZN,2558168662016.0,Consumer Cyclical,34.136948,30.35473,0.9378282417582418,98.08929031565567,1.376,0.24327,43.405,,0.50046,0.11057,0.11063,18.786,0.6815917932261994
TSLA,1615084257280.0,Consumer Cyclical,398.52777,146.76537,,432.6939607470914,1.835,0.049250003,17.763,,0.18027,0.047030002,0.040009998,151.049,6.37913828648855
META,1812426522624.0,Communication Services,30.48936,20.584763,2.849472897196262,66.87810796512358,1.287,0.30238,39.164,,0.81999,0.41314998,0.30084,17.822,4.2919657914943565
GOOGL,4093897080832.0,Communication Services,33.432247,29.995413,0.9470891501416431,40.9703360449697,1.086,0.3545,11.424,,0.59172,0.30512,0.32233003,27.721,66.31886458033469
NVDA,4653442400256.0,Technology,47.66334,24.93913,0.7145928035982009,87.184011643079,2.314,0.0107359,9.102,,0.7005,0.63168997,0.53007,40.771,59.22567930160794
AVGO,1570783887360.0,Technology,69.454926,23.076942,0.36924468899521534,62.7206566791662,1.218,0.31048,166.032,,0.77325994,0.31765,0.36198002,4.729,51.07954694109533
AAPL,3813817974784.0,Technology,32.8872,27.95913,1.7971147540983605,35.83259857595302,1.093,0.015202099,102.63,,0.47325,0.35374,0.27037,25.105,10.44642401112954
MSFT,3195174125568.0,Technology,26.960527,22.775658,0.4508449331103679,59.56630566966855,1.073,0.34390998,31.539,,0.68586,0.47094002,0.39044,18.424,4.43409884430821
BRK-B,1036664111104.0,Financial Services,15.362212,19.864155,0.8931518604651163,13.569256284375067,0.71,0.1017,18.166,,0.24361,0.41103,0.18129,-2.421,2.5305622788888593
V,620500942848.0,Financial Services,30.218779,22.21006,1.7267873714285715,24.583956171799,0.815,0.53954,54.612,,0.97777003,0.68296,0.50233,21.4,-5.1738392394862665
TSM,1714450989056.0,Technology,31.938164,18.36619,0.7866542857142858,2.7693099538254105,1.274,0.35224,18.187,,0.59891,0.53841996,0.45099998,2.492,60.04874370678714
WMT,949885468672.0,Consumer Defensive,40.941578,40.115696,1.1631130113636365,91.54425406301034,0.661,0.23661,66.747,,0.24906999,0.0373,0.03259,23.736,22.53504877024102
LLY,929760149504.0,Healthcare,50.24952,31.224928,0.1045993338884263,664.0332701216562,0.347,0.9647,178.516,,0.83029,0.48294,0.30986,33.464,28.826495127119458
ASML,552334131200.0,Technology,48.074326,32.668606,6.676989722222223,43.5389602023013,1.341,0.50458,13.813,,0.52830005,0.35306,0.29416,43.755,94.31601596372256
JPM,832712867840.0,Financial Services,15.317477,13.254018,,,1.066,0.16134001,,,0.0,0.42646,0.3391,,16.783467025582045
XOM,596307214336.0,Energy,21.104477,17.245941,,30.732574868364548,,0.110810004,16.329,,0.31774,0.09955,0.08682,9.298,37.2176018020083
MA,481375289344.0,Financial Services,32.574966,23.917923,1.3460729752066118,29.371908192964153,0.857,0.0209915,245.288,,1.0,0.57733,0.45646998,23.841,-2.435781560033179
ORCL,472859738112.0,Technology,31.772202,20.744629,0.34952917491749175,,1.651,0.69026,432.511,,0.68543,0.31997,0.25280002,22.285,-2.241733828043968
ABBV,394144415744.0,Healthcare,166.42537,15.679026,,18.950162789895003,0.35,0.0137961,,,0.71461,0.35497,0.04004,15.494,25.33505898777879
AMD,385406271488.0,Technology,131.51666,35.82584,2.181039137645108,118.75097370645308,1.95,0.05317,6.366,,0.51457,0.13736,0.10323,63.104,104.16559398933978
COST,417431224320.0,Consumer Defensive,51.01736,42.32895,4.475207017543859,58.20552975467004,1.008,0.30325,26.968,,0.12876001,0.03659,0.02961,31.111,-3.411883649519021
JNJ,547512320000.0,Healthcare,20.621595,18.118628,0.42431265432098764,,0.333,0.35557,57.766,,0.68068004,0.22993,0.28456,17.385,53.931183831054
MU,466951274496.0,Technology,41.488,9.528057,0.23653363740022804,1051.1002791700269,1.503,0.22554001,21.244,,0.45308998,0.44974998,0.28146,21.099,356.2030774641223
BAC,388492787712.0,Financial Services,13.926702,10.733878,0.6663493779904307,,1.295,0.1019,,,0.0,0.35559,0.28401,,17.564045824319653
BABA,404794736640.0,Consumer Cyclical,23.163933,19.030926,,,0.358,0.11191,27.249,,0.41173,0.02165,0.121879995,19.679,74.44950257966572
NFLX,354155364352.0,Communication Services,33.0,21.858252,1.0091743119266054,14.255012513130268,1.711,0.42762002,63.782,,0.48487,0.24535,0.24304001,26.385,-14.52352895183936
HD,372908654592.0,Consumer Cyclical,25.378725,24.898666,,38.30990978807842,1.072,0.0162909,544.586,,0.33355,0.12945,0.087740004,17.087,-6.808829020371599
PLTR,349387915264.0,Technology,357.5366,144.7102,1.7876830000000001,283.74163064252303,1.545,0.19504,3.52,,0.80807996,0.33296,0.28114,391.967,77.7063932552044
CSCO,309449719808.0,Technology,30.35659,17.507582,5.059431666666667,24.943554389205616,0.863,0.22418,63.228,,0.64847,0.23604,0.17902,20.627,32.381122873812515
KO,321957330944.0,Consumer Defensive,24.368078,23.230827,0.8095706976744187,227.7649161265722,0.387,0.42442,144.771,,0.61632997,0.32373002,0.2734,21.844,21.325053951652716
