ticker,marketCap,sector,trailingPE,forwardPE,pegRatio,priceToFreeCashFlow,beta,returnOnEquity,debtToEquity,returnOnInvestedCapital,grossMargins,operatingMargins,profitMargins,enterpriseToEbitda,priceMomentum12M
GOOGL,4662022373376.0,Communication Services,29.329268,28.444496,0.9430632797427652,58.835438839793525,1.128,0.35705003,16.133,,0.59652,0.31568,0.32810003,27.79,139.38891413942935
AMZN,2850521874432.0,Consumer Cyclical,31.743711,26.977953,6.3487422,119.80443665119532,1.383,0.22286,43.435,,0.50286,0.10533,0.108339995,19.757,39.358572162400684
META,1553286561792.0,Communication Services,22.275574,16.91387,2.0818293457943926,57.34725129236276,1.309,0.30238,39.164,,0.81999,0.41314998,0.30084,16.646,7.271628340544312
TSM,2054125649920.0,Technology,33.909245,20.529562,0.5806377568493151,2.846782315295077,1.251,0.3621,17.131,,0.61873,0.58105,0.46505,2.781,132.14763681303924
AVGO,1976392613888.0,Technology,81.37037,23.039581,2.5750117088607594,77.4941931632782,1.253,0.33370999,82.704,,0.76725996,0.44943002,0.36571997,54.497,113.25303739130068
MSFT,3029167243264.0,Technology,24.27262,21.130917,1.037291452991453,81.84449337387221,1.107,0.34013999,30.271,,0.68309,0.46326,0.39341998,16.678,-3.4081286999582683
NVDA,4850548998144.0,Technology,40.645622,17.756636,0.42516341004184105,83.42739654017502,2.335,0.0101485,7.255,,0.71068,0.65024,0.55603004,36.016,78.8522842194991
AAPL,3983727394816.0,Technology,34.348103,28.876884,1.8769455191256832,37.47177286721463,1.109,0.015202099,102.63,,0.47325,0.35374,0.27037,26.208,27.75765521024718
BRK-B,1021494099968.0,Financial Services,15.26757,21.774733,,17.898175954886995,0.699,0.09809,18.809,,0.26146,0.32956,0.18029,-2.125,-10.680267535737276
TSLA,1433296830464.0,Consumer Cyclical,343.81082,150.523,41.42299036144578,272.90498300712215,1.915,0.04901,18.738,,0.19065,0.04203,0.03946,126.657,36.04378117289897
V,627271139328.0,Financial Services,28.731709,22.522423,1.076093970037453,26.10051488794537,,0.60349,67.233,,0.97476,0.67346,0.51679003,19.817,-2.9614434994151617
JPM,839299825664.0,Financial Services,14.994257,13.32291,0.8717591279069767,,1.043,0.16465001,,,0.0,0.43051997,0.33936,,29.33764588164973
MU,583218888704.0,Technology,24.382837,5.096719,0.03225242989417989,201.56176297393787,1.606,0.39823002,14.902,,0.58437,0.67624,0.41486,15.744,566.5782505638634
WMT,1051612741632.0,Consumer Defensive,48.326004,40.193638,,99.63879524652525,0.661,0.21847,64.443,,0.24927,0.04567,0.0307,25.349,36.63963262559218
XOM,641481834496.0,Energy,23.034328,15.178159,,52.4525707480175,0.288,0.110810004,18.936,,0.31049,0.09527001,0.089049995,11.621,50.91005746914205
AMD,577964343296.0,Technology,135.30153,31.989119,0.6232221556886228,125.98806945202676,1.963,0.07082,6.359,,0.52493,0.17059,0.12515001,84.717,266.777024731947
LLY,836297687040.0,Healthcare,33.224316,21.941757,0.1956673498233216,,0.504,,165.31,,0.82832,0.49386,0.34986,24.072,18.56441574617367
ORCL,464165076992.0,Technology,28.974865,20.094828,1.1826475510204082,,1.597,0.57572,415.265,,0.67084,0.32676,0.25298,21.599,12.041519806790602
INTC,474856488960.0,Technology,-157.46666666666667,63.81628,,,1.349,-0.02911,36.028,,0.372,0.06879,-0.05904,35.325,372.8728837069083
COST,450098823168.0,Consumer Defensive,52.62085,45.142044,1.1565021978021977,67.27557126527347,0.978,0.29650998,60.257,,0.12926,0.036730003,0.029860001,33.296,2.107029677091199
ASML,554612162560.0,Technology,47.39756,30.126337,2.468622916666667,67.28056293693096,1.382,0.52236,12.989,,0.52603,0.36020002,0.29713,43.207,117.52259017858759
MA,444770680832.0,Financial Services,29.070522,22.178057,1.371251037735849,27.565214522181453,,0.0232076,282.059,,1.0,0.58431,0.45876,21.574,-7.452827213346458
NFLX,394172858368.0,Communication Services,30.196775,24.359398,0.3494997106481481,15.164182167798593,1.669,0.48494998,53.788,,0.49029,0.32303002,0.28521,27.912,-17.412900298035527
