ticker,marketCap,sector,trailingPE,forwardPE,pegRatio,priceToFreeCashFlow,beta,returnOnEquity,debtToEquity,returnOnInvestedCapital,grossMargins,operatingMargins,profitMargins,enterpriseToEbitda,priceMomentum12M
AMZN,2911304417280.0,Consumer Cyclical,31.653803,27.443575,0.4231791844919786,296.8711627734465,1.468,0.24285,53.3,,0.50604,0.1314,0.12224,19.272,32.013076070286736
GOOGL,4607987679232.0,Communication Services,28.989328,26.249208,0.3535283902439024,79.3278640418016,1.267,0.38884997,20.026,,0.60368,0.36121,0.37919,28.374,122.23056344439884
TSLA,1636706942976.0,Consumer Cyclical,399.80734,173.64296,48.16955903614458,311.63499343519584,1.793,0.04901,18.738,,0.19065,0.04203,0.03946,144.992,25.783643349337314
MSFT,3344578379776.0,Technology,26.81596,23.28298,1.1459811965811966,90.3665326809854,1.093,0.34013999,30.271,,0.68309,0.46326,0.39341998,18.388,-1.417073640591715
AVGO,2115307700224.0,Technology,86.920235,24.227386,2.750640348101266,82.94104563533477,1.44,0.33370999,82.704,,0.76725996,0.44943002,0.36571997,58.23,86.05774658886935
NVDA,5114022068224.0,Technology,32.383434,16.681019,0.15097172027972028,110.36852456305625,2.244,0.0114288,6.555,,0.74144995,0.65596,0.62966,30.627,56.286345040329586
TSM,2170280083456.0,Technology,35.8569,21.44058,0.6139880136986302,3.0178051425942516,1.264,0.3621,18.447,,0.61873,0.58105,0.46505,3.012,119.13548384415998
AAPL,4583336181760.0,Technology,37.733974,32.479454,1.7309162385321102,45.33883147598208,1.065,0.014147099000000002,79.548,,0.47862,0.32275,0.27152002,28.751,55.98606227554921
META,1605578129408.0,Communication Services,22.992002,17.490955,0.3684615705128205,54.34725865664639,1.243,0.32930002,35.608,,0.81941,0.40617,0.32837,14.74,-2.0087799307870857
AMD,841552887808.0,Technology,172.60869,39.6797,1.892639144736842,117.31618556167614,2.399,0.08063,6.005,,0.5306,0.14396,0.13374,112.123,366.0886700566358
BRK-B,1023384027136.0,Financial Services,14.125633,22.26875,0.11810729933110369,10.836003167580241,0.622,0.10499,17.669,,0.2778,0.14352,0.19305,-2.25,-5.849669012407288
MU,1095029751808.0,Technology,45.86679,9.222632,0.060670357142857144,378.44472087495876,1.919,0.39823002,14.902,,0.58437,0.67624,0.41486,29.651,930.4088832640192
ORCL,649353691136.0,Technology,40.462364,28.108276,1.6515250612244898,,1.544,0.57572,415.265,,0.67084,0.32676,0.25298,28.348,37.766700119743945
LLY,985374195712.0,Healthcare,39.212208,24.848028,0.23079580929958796,107.61355462636814,0.481,0.0107459,139.015,,0.82832,0.49386,0.34986,28.261,50.855643183714406
WMT,922642153472.0,Consumer Defensive,40.757042,35.186756,2.100878453608247,134.45184221829274,0.652,0.24132,74.816,,0.24976,0.042150002,0.03135,22.138,18.231129024465133
JPM,802004533248.0,Financial Services,14.3279085,12.708614,0.8330179360465116,,1.023,0.16465001,,,0.0,0.43741,0.33936,,15.57992632564753
ASML,621586219008.0,Technology,53.758667,33.799416,2.799930572916667,75.40524998934306,1.373,0.52236,12.989,,0.52603,0.36020002,0.29713,48.478,120.6113510634212
V,620653051904.0,Financial Services,28.478184,21.975697,0.8022023661971831,25.9918157834191,0.784,0.60349,67.233,,0.97778,0.67346,0.51679003,20.754,-9.926932948901712
INTC,576381648896.0,Technology,-191.13333333333335,74.48107,,,2.19,-0.02911,36.028,,0.372,0.06879,-0.05904,42.488,486.5984883651729
MA,436472774656.0,Financial Services,28.57027,21.716301,1.347654245283019,26.829019820896757,0.759,0.0232076,282.059,,1.0,0.60836,0.45876,20.92,-15.14722152036091
CSCO,474627538944.0,Technology,40.14,25.232481,1.0819407008086253,51.099094000184984,0.912,0.25229,67.541,,0.64296997,0.24992001,0.19685,28.87,95.41838933780107
XOM,602095026176.0,Energy,24.454544,13.639962,,51.76862843687722,0.183,0.09873,18.261,,0.29768,0.06355,0.077649996,11.569,46.52035541626876
JNJ,542418173952.0,Healthcare,26.11008,17.718327,,43.35400261505942,0.263,0.26416,67.73,,0.68035007,0.27408,0.21834,16.762,48.80489727561334
COST,424273805312.0,Consumer Defensive,49.756504,42.29425,1.0935495384615384,54.601455898815104,0.908,0.29152,60.257,,0.12876001,0.036730003,0.0301,30.633,-7.544542445898994
LRCX,397906673664.0,Technology,60.26136,40.06129,1.476994117647059,91.42358898406884,1.819,0.66762,35.282,,0.49979,0.35042998,0.30938998,50.574,296.72152052984114
ABBV,384666140672.0,Healthcare,106.20488,13.414854,,18.48323440340989,0.305,,,,0.72026,0.32156,0.05786,14.983,20.795719707157634
PLTR,375275192320.0,Technology,175.88763,75.46715,0.5411927076923077,205.03570857227646,1.521,0.32587,2.477,,0.84073997,0.46183997,0.43673,182.122,18.78889167556512
CAT,403418677248.0,Industrials,43.662514,29.378874,1.4457786092715232,106.81990170045472,1.625,0.51331,230.793,,0.28601998,0.18180001,0.13328,30.446,154.38875462068603
ARM,377341575168.0,Technology,415.63528,115.63715,8.677145720250522,502.78689035253893,3.406,0.119540006,5.926,,0.97541,0.2953,0.18374,351.49,183.6759253275007
NFLX,362212884480.0,Communication Services,27.748386,22.384312,0.321161875,13.93465388392303,1.548,0.48494998,53.788,,0.49029,0.32303002,0.28521,25.674,-28.745971932084156
BAC,366184071168.0,Financial Services,12.803969,10.218914,0.5247528278688525,,1.221,0.10644,,,0.0,0.35956,0.28956,,19.557225786459153
AMAT,357329371136.0,Technology,42.378532,27.833576,1.2650308059701492,117.52806030988862,1.654,0.39692003,30.399,,0.48956,0.31896,0.29314,38.421,189.22586423674227
CVX,363386929152.0,Energy,31.732176,14.671532,,30.85695504330854,0.501,0.06638,23.989,,0.42421,0.07312,0.059270002,10.725,39.06506287741451
UNH,345376391168.0,Healthcare,28.65938,18.222345,40.94197142857142,19.52657993859935,0.646,0.121759996,73.982,,0.18801,0.080469996,0.02678,18.613,29.520088400436006
KO,339939131392.0,Consumer Defensive,24.845913,22.680367,1.3651600549450549,108.80663316310702,0.356,0.43372002,124.943,,0.61744,0.35055,0.278,22.307,12.760610261891902
MS,328075247616.0,Financial Services,18.84058,16.378288,0.5906137931034482,,1.207,0.16388,502.246,,0.87388,0.40616,0.24753,,66.38320325816719
HSBC,321494548480.0,Financial Services,15.494214,10.077099,5.959313076923077,,0.574,0.11611,,,0.0,0.50684,0.34977,,65.8885998895173
GE,338274058240.0,Industrials,40.168736,37.313557,,59.596132403001036,1.352,0.45428002,116.527,,0.31149,0.20207001,0.17863001,31.6,32.35479001603445
PG,334293663744.0,Consumer Defensive,21.019033,20.24758,3.6239712068965515,26.25256991388876,0.398,0.31112,67.651,,0.50984,0.23047,0.19162,14.376,-13.067426707178253
GS,302547828736.0,Financial Services,18.72827,15.684131,0.7738954545454545,,1.274,0.14548,678.596,,0.82271004,0.38599998,0.29363,,73.47231787434048
HD,316225585152.0,Consumer Cyclical,22.524149,19.69053,,31.222135020903654,0.999,0.012838,459.356,,0.33126998,0.11926,0.08411,15.167,-11.711869937652297
BABA,298020438016.0,Consumer Cyclical,19.169754,13.461854,0.18414749279538906,,0.494,0.092159994,25.014,,0.39811,0.0101499995,0.1012,21.339,10.962362958778481
AZN,287945981952.0,Healthcare,27.9203,23.143139,5.267981132075472,43.901729732610356,0.223,0.23482999,71.815,,0.81504995,0.27943,0.17188999,15.68,29.692662962786898
MRK,293217566720.0,Healthcare,33.442253,12.413294,,20.870690478431953,0.195,0.18944,106.936,,0.76725996,0.38604,0.13586001,11.406,60.11541496184813
PM,276457160704.0,Consumer Defensive,24.983099,19.407873,,32.23896337513158,0.393,,,,0.67280996,0.36044,0.26742,17.476,1.7028640779077397
DELL,273409769472.0,Technology,48.547867,21.199621,0.17185085663716812,,1.062,,,,0.19173999,0.08339,0.062750004,21.033,284.02989292105644
NVS,286538170368.0,Healthcare,21.514326,15.085655,,23.829033325243962,0.487,0.34929,120.734,,0.75554,0.30479,0.23921,14.268,33.67371037633171
IBM,279897833472.0,Technology,26.377323,22.133545,1.857557957746479,21.397690092096003,0.581,0.35772,211.169,,0.58358,0.13809,0.15606,20.348,17.89422815081574
TXN,278197174272.0,Technology,52.342464,32.47213,1.672283194888179,260.42327968139716,1.298,0.32347,83.741,,0.57322,0.37824002,0.29108,33.138,71.86430256903662
QCOM,264575090688.0,Technology,27.020452,23.6006,0.1561875838150289,27.58972166639188,1.493,0.36083,55.979,,0.54799,0.22059,0.22308001,20.774,76.92946405822605
RY,263389986816.0,Financial Services,17.059406,14.919456,0.6203420363636363,,0.937,0.16203,,,0.0,0.45286998,0.33687,,51.94335555370162
GEV,260206952448.0,Industrials,28.330017,39.504578,0.01559593559042114,27.932312289909966,1.313,0.75708,24.925,,0.20282,0.05461,0.23809999,74.768,105.17683221718674
SNDK,251009171456.0,Technology,57.809685,9.651336,,111.09058396102735,,0.39297,1.503,,0.56038,0.69983,0.34185,43.942,4397.1612145373065
KLAC,251028209664.0,Technology,54.347,38.54616,4.6056779661016956,86.85535319550851,1.501,0.94975996,105.4,,0.61446,0.41215,0.35661998,43.112,155.5353013600015
TM,247569121280.0,Consumer Cyclical,10.267568,12.037389,0.4425675862068965,,0.327,0.10233,105.328,,0.14926,0.04566,0.07592,5.339,-0.3253436009812094
PANW,228450598912.0,Technology,156.49445,70.777985,2.586685123966942,79.89947729501736,0.77,0.16259001,4.887,,0.73502,0.15496999,0.12956999,146.946,46.393307702183506
RTX,241945149440.0,Industrials,33.644196,23.770243,1.0352060307692308,33.44844376441717,0.301,0.11571,57.229,,0.20212999,0.13182001,0.080290005,18.071,33.73630469648026
SHEL,233803776000.0,Energy,13.102804,9.204468,0.4925866165413534,14.954827196176149,-0.24,0.10697,43.324,,0.25858,0.14873,0.07014,10.744,31.912629382667856
LIN,230105628672.0,Basic Materials,33.003315,25.250635,2.4629339552238805,49.01600608296112,0.74,0.18229,65.642,,0.48766,0.28471002,0.20436001,18.699,7.875233268870474
WFC,237287096320.0,Financial Services,11.984545,9.816309,0.7936784768211921,,0.96,0.12028,,,0.0,0.29447,0.26742,,5.9660425229063785
