ticker,marketCap,sector,trailingPE,forwardPE,pegRatio,priceToFreeCashFlow,beta,returnOnEquity,debtToEquity,returnOnInvestedCapital,grossMargins,operatingMargins,profitMargins,enterpriseToEbitda,priceMomentum12M
GS,284860547072.0,Financial Services,19.126017,16.893969,0.41759862445414847,,1.322,0.13532,586.142,,0.82997,0.37203997,0.29073998,,70.56650114145464
KO,304699637760.0,Consumer Defensive,23.44371,21.977749,0.7788607973421927,215.57137931215004,0.387,0.42442,144.771,,0.61632997,0.32373002,0.2734,20.709,18.23841074621193
AZN,293375672320.0,Healthcare,31.435217,18.37353,0.40301560256410257,29.39525353242437,0.193,0.21674,71.047,,0.83257,0.24106,0.1617,8.394,47.02409922784694
WFC,305496162304.0,Financial Services,15.710873,13.721701,0.9296374556213016,,1.088,0.115200005,,,0.0,0.33717,0.26629,,38.15014319351151
MS,296439545856.0,Financial Services,19.065708,17.458914,0.38989177914110434,,1.197,0.15135,420.553,,0.86797,0.38872,0.23606001,,53.96388425086855
SAP,289528348672.0,Technology,35.247158,29.34946,0.9300041688654354,41.14103285799747,0.805,0.17028,21.093,,0.73831004,0.28272,0.19406,26.541,0.3420693893530835
CSCO,291235168256.0,Technology,28.45946,16.480162,4.743243333333333,23.474553564126314,0.863,0.22418,63.228,,0.64847,0.23604,0.17902,19.508,28.48601574284575
LRCX,277918908416.0,Technology,48.75885,38.33563,1.100651241534989,64.69745971752988,1.779,0.62261003,43.991,,0.49313,0.34354,0.29657,39.662,198.7351909883126
TM,290657566720.0,Consumer Cyclical,9.889579,14.132446,0.1487154736842105,3.6876473084220853,0.194,0.12938,103.659,,0.17952,0.06783,0.09378,4.341,24.09277862958121
HSBC,280045060096.0,Financial Services,17.172632,9.844031,,,0.434,0.092939995,,,0.0,0.39952,0.30516002,,75.73240852364907
IBM,282065698816.0,Technology,35.923813,24.704134,,23.99027733638993,0.698,0.30156,237.831,,0.57808995,0.1717,0.120900005,22.348,42.39040450001106
NVS,273312743424.0,Healthcare,19.51233,15.462475,0.67987212543554,17.072310432468623,0.449,0.32617,71.554,,0.76247,0.31933,0.25531998,11.811,48.82567895817935
CAT,292963287040.0,Industrials,32.13515,27.93397,,46.53101930850101,1.568,0.46283,201.046,,0.3012,0.17746,0.14339,23.208,75.11543458843389
NVO,266119987200.0,Healthcare,16.408218,17.243752,,5.839624875319054,0.358,0.71465,59.574,,0.83438003,0.44353,0.32881,1.994,-27.273910714039207
MRK,275073859584.0,Healthcare,14.56709,14.770239,0.16743781609195402,18.814739999615767,0.298,0.39485002,79.708,,0.77852,0.40802,0.29632,9.439,13.158386064200212
PM,254043439104.0,Consumer Defensive,23.281027,19.5752,1.7771776335877862,32.81473203246497,0.42,,,,0.66920996,0.40747002,0.21574,16.767,43.73968508632296
AMAT,245274263552.0,Technology,35.511536,26.2664,2.6700403007518796,66.8268979766561,1.671,0.35508,34.533,,0.48675,0.28441,0.24669,26.525,82.00104541531266
CRM,245539848192.0,Technology,34.43525,19.677465,0.8921049222797928,16.639713114320667,1.266,0.12184,19.385,,0.77729,0.23862,0.17913,20.666,-18.637349299232763
RTX,256905314304.0,Industrials,39.425926,28.435617,1.3410178911564625,59.52221051395251,0.438,0.10702,61.315,,0.20127001,0.12399,0.07666,20.008,65.77404129633848
AXP,250538475520.0,Financial Services,24.211836,20.681704,1.3017116129032258,,1.154,0.33935001,185.273,,0.64135003,0.22052999,0.16143999,,22.50399511207788
RY,238101676032.0,Financial Services,16.697046,13.7035055,0.5718166438356165,,1.013,0.15295,,,0.0,0.44803002,0.32714,,46.452459312969
TMUS,225623998464.0,Communication Services,19.295475,16.299664,,28.47514554802425,0.44,0.19034,200.622,,0.63775,0.2223,0.13826999,10.513,-4.615462440859542
TMO,231650328576.0,Healthcare,35.57819,25.00864,71.15638,49.32140607695056,0.91,0.13116999,69.75,,0.41389,0.19277,0.15022,24.438,11.382195864477328
APP,212251787264.0,Communication Services,73.91047,45.00472,0.7707035453597498,76.66931240307792,2.502,0.0241886,238.274,,0.79688,0.76795,0.44879,56.401,98.77721571175815
SHOP,211419283456.0,Technology,118.54014,87.76101,,169.01502125688106,2.84,0.15741,8.912,,0.48747003,0.1737,0.16650999,121.027,59.591191618282565
INTC,213815246848.0,Technology,747.0834,75.56346,,,1.354,0.0018600001,39.881,,0.33023,0.06284,0.0037099998,23.306,133.4635323896594
ABT,217975078912.0,Healthcare,15.733668,22.059198,,35.89004869844038,0.72,0.3062,25.31,,0.56259996,0.19395,0.3188,19.112,12.742363780592925
MCD,219112226816.0,Consumer Cyclical,26.221178,23.182613,16.38823625,49.75924186838384,0.531,,,,0.57425,0.46905997,0.3204,19.052,10.78229714329757
ISRG,207102623744.0,Healthcare,76.41931,59.535,3.0567724,104.15058471793903,1.672,0.16902,,,0.66376996,0.30326,0.28577998,59.504,7.036591014358495
LIN,206685945856.0,Basic Materials,29.542894,24.723074,1.0941812592592592,58.833531151677775,0.855,0.17979999,64.673,,0.48776,0.2794,0.21170999,17.509,5.999833699607615
C,216489590784.0,Financial Services,16.516853,11.852664,0.7119333189655171,,1.166,0.06995,,,0.0,0.30606002,0.19488001,,66.08855086593239
SHEL,202701815808.0,Energy,14.569387,11.174749,0.44967243827160497,11.505708327855068,-0.104,0.081549995,41.602,,0.25445,0.11347,0.054380003,9.323,14.469007272156986
BX,190859788288.0,Financial Services,44.696117,24.230066,,,1.752,0.26457,65.942,,1.0,0.44629002,0.2117,,-3.2718585566207437
DIS,204245286912.0,Communication Services,16.583942,15.459905,0.08854213561131874,29.254260247459374,1.442,0.12203,39.632,,0.37764,0.11868,0.13136,12.944,6.269722550548273
PEP,191164268544.0,Consumer Defensive,26.545628,16.30285,,26.74909939824926,0.421,0.37162,260.19,,0.54269004,0.16903,0.078200005,13.731,0.4912187607792218
KLAC,186200604672.0,Technology,44.493076,33.19607,2.1390901923076924,67.37860268803077,1.444,0.99167997,122.127,,0.61294997,0.41661,0.33828998,32.941,106.38155213512697
MUFG,197397774336.0,Financial Services,16.414288,16.733011,1.8866997701149426,,0.143,0.06005,,,0.0,0.49892,0.22808,,47.92203406505826
QCOM,186823475200.0,Technology,34.55988,13.967576,,27.04660694909191,1.212,0.2334,73.767,,0.55429,0.26235,0.12512,13.996,12.658831574847508
SCHW,183155638272.0,Financial Services,23.629976,17.733925,0.30490291612903225,,0.937,0.17046,99.789,,0.97342,0.49242002,0.35930002,,40.566672732127174
APH,179862732800.0,Technology,48.98,36.37228,0.47972575905974535,77.25688741730434,1.214,0.34807998,63.99,,0.36308,0.27481002,0.18218,29.002,116.66801679280319
BLK,168353480704.0,Financial Services,27.930374,20.2756,,25.684194947815914,1.484,0.120740004,24.32,,0.47664002,0.3214,0.26638,19.623,15.950433661438513
BA,184953602048.0,Industrials,-17.240145985401462,104.15583,,,1.163,,,,0.01195,-0.204,-0.12197,-34.4,38.47100302402582
AMGN,175194685440.0,Healthcare,25.123552,14.802087,1.8473199999999999,15.356337143006398,0.45,0.8171,567.491,,0.70051,0.34153,0.19474001,13.394,24.334800282465952
INTU,177399267328.0,Technology,43.764423,24.103792,,35.044152484655065,1.254,0.21987,,,0.80728996,0.15697,0.21191,,4.617326733119742
TJX,175972319232.0,Consumer Cyclical,34.903973,30.615507,2.837721382113821,51.46942197005757,0.752,0.58396,140.977,,0.30852,0.12489,0.086789995,23.265,33.518173868668356
SAN,177672142848.0,Financial Services,12.136364,11.332126,1.896306875,,0.974,0.13716,,,0.0,0.39319,0.26841998,,162.79061473461178
GEV,174353301504.0,Industrials,103.97362,48.93807,,71.99736617884065,,0.16723,11.101,,0.19687,0.05738,0.045229997,55.712,75.01826698517229
UBER,175988473856.0,Technology,43.5,19.866709,0.2744479495268139,25.83285857168515,1.203,0.72994006,45.755,,0.3415,0.082650006,0.33542,34.55,28.43957978640017
PDD,169590964224.0,Consumer Cyclical,12.127918,9.557672,0.7350253333333333,1.9392401056740425,0.006,0.30533,2.727,,0.56649,0.23113,0.24435,2.809,24.463425528074033
BKNG,175162474496.0,Consumer Cyclical,35.14501,20.29579,2.603334074074074,26.25288773214254,1.234,,,,0.86992997,0.44904998,0.19371,18.157,14.292018315022492
