ticker,marketCap,sector,trailingPE,forwardPE,pegRatio,priceToFreeCashFlow,beta,returnOnEquity,debtToEquity,returnOnInvestedCapital,grossMargins,operatingMargins,profitMargins,enterpriseToEbitda,priceMomentum12M
GOOGL,3478613393408.0,Communication Services,26.601294,21.413168,0.8553470739549839,43.95499314369303,1.112,0.35705003,16.133,,0.59652,0.31568,0.32810003,22.765,83.71241810186419
AMZN,2235761950720.0,Consumer Cyclical,29.08799,22.175255,5.817598,93.96672081802676,1.42,0.22286,43.435,,0.50286,0.10533,0.108339995,15.723,8.377999679690085
META,1447234633728.0,Communication Services,24.335602,15.945652,2.274355327102804,53.40261257513769,1.279,0.30238,39.164,,0.81999,0.41314998,0.30084,14.238,-2.0622996325211918
NVDA,4238791933952.0,Technology,35.591835,15.688602,0.37229952928870297,72.90543647144624,2.375,0.0101485,7.255,,0.71068,0.65024,0.55603004,31.425,58.36685423072181
MSFT,2751243485184.0,Technology,23.150095,19.637156,0.38712533444816055,51.243717887334604,1.108,0.34390998,31.539,,0.68586,0.47094002,0.39044,15.877,-2.4035446403872895
AVGO,1467471626240.0,Technology,60.215958,17.349634,0.32012736842105266,57.45928113927181,1.257,0.33370999,166.032,,0.76725996,0.31765,0.36571997,4.207,85.15179335486982
TSM,1752779325440.0,Technology,32.683754,18.820547,0.9338215428571429,2.724036466429739,1.282,0.35064,19.565,,0.59891,0.53916,0.45099998,2.603,102.87932129443651
AAPL,3730186436608.0,Technology,32.16603,27.241413,1.7577065573770492,35.04684442959425,1.116,0.015202099,102.63,,0.47325,0.35374,0.27037,24.522,14.205888609514773
BRK-B,1033572581376.0,Financial Services,15.433173,22.007444,,18.109809792191403,0.688,0.09809,18.809,,0.26146,0.32956,0.18029,-2.125,-10.092120156088036
TSLA,1394966528000.0,Consumer Cyclical,344.21295,132.27513,,373.7226828087898,1.926,0.049250003,17.763,,0.18027,0.047030002,0.040009998,130.092,38.47500999500164
WMT,990810210304.0,Consumer Defensive,45.523808,37.84167,,93.87783691817032,0.657,0.21847,64.443,,0.24927,0.04567,0.0307,23.962,41.14914979308051
LLY,823211393024.0,Healthcare,40.007397,21.854916,0.778354027237354,421.16008571971014,0.434,0.0101159,165.31,,0.83044,0.44896,0.31667,27.083,15.070235054033976
XOM,706933096448.0,Energy,25.32239,18.416561,,57.80437877381229,0.348,0.110810004,18.936,,0.31049,0.09527001,0.089049995,12.696,47.42051450231857
JPM,793359089664.0,Financial Services,14.68597,12.61499,,,1.059,0.16134001,,,0.0,0.41062,0.3391,,23.201038468902556
V,582730645504.0,Financial Services,28.406013,20.787796,1.632529482758621,23.061367438009132,0.791,0.53954,54.612,,0.97777003,0.68296,0.50233,20.06,-12.08258296352649
JNJ,589075709952.0,Healthcare,22.181488,19.448328,0.4564092181069959,35.39665565147306,0.326,0.35029998,60.499,,0.68081003,0.23966,0.28456,18.274,63.94815185520639
ASML,518635356160.0,Technology,46.5081,30.558447,6.459458333333334,46.8976638301403,1.431,0.50458,23.916,,0.52830005,0.35304,0.29416,40.798,99.65731222732825
MA,445915430912.0,Financial Services,30.209188,22.047138,1.2483135537190084,27.18649033301849,0.836,0.0209915,256.042,,1.0,0.57733,0.45646998,22.126,-8.379988445695318
ORCL,423095140352.0,Technology,26.3638,18.451254,1.0760734693877552,,1.648,0.57572,415.265,,0.67084,0.32676,0.25298,20.103,4.692608263884868
NFLX,407857692672.0,Communication Services,38.003952,24.952574,1.162200366972477,16.41657028551294,1.714,0.42762002,63.782,,0.48487,0.24535,0.24304001,30.298,3.567507545324955
COST,442284802048.0,Consumer Defensive,51.816433,44.401894,3.7278009352517985,66.0753230321986,0.993,0.29650998,25.976,,0.12926,0.03744,0.029860001,32.107,4.975990473042735
ABBV,384688128000.0,Healthcare,91.76794,13.495352,,20.977936252783998,0.334,0.6225,,,0.71620005,0.34108,0.0691,15.305,8.976568556781285
PLTR,349854302208.0,Technology,232.19048,78.33393,0.3585399629400865,265.83507819084883,1.739,0.25983,3.063,,0.82366997,0.40901002,0.36310002,238.173,72.74444907041307
MU,380993667072.0,Technology,15.950896,3.428163,0.021099068783068782,131.67226004160253,1.542,0.39823002,14.902,,0.58437,0.67624,0.41486,10.249,281.74801131622104
CVX,413666246656.0,Energy,31.253777,20.750301,,31.05232068130239,0.658,0.07231,24.323,,0.41896,0.09462,0.06661,12.198,28.307467097279073
BAC,349863247872.0,Financial Services,12.795276,9.813,0.6035507547169812,,1.263,0.10217,,,0.0,0.41627997,0.28401,,20.14098199481569
